"","YEAR","AGE","income_bound","EDUC","female","religious","married","widowed","divorced","separated","have_children","white","happy","ft_employed","pt_employed","unemployed","retired","in_education","home_maker","work_status_other","c_age"
"217",1991,31,15,18,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-15.3461142836874
"218",1991,28,14,16,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-18.3461142836874
"219",1991,32,16,20,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-14.3461142836874
"220",1991,85,11,10,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,38.6538857163126
"221",1991,33,13,16,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-13.3461142836874
"222",1991,47,21,20,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.653885716312558
"224",1991,68,12,12,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,21.6538857163126
"226",1991,33,17,19,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-13.3461142836874
"228",1991,29,15,18,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-17.3461142836874
"229",1991,21,9,13,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-25.3461142836874
"230",1991,26,20,15,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-20.3461142836874
"232",1991,22,10,12,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-24.3461142836874
"233",1991,49,11,12,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2.65388571631256
"234",1991,35,10,13,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,-11.3461142836874
"235",1991,68,10,14,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,21.6538857163126
"236",1991,36,20,18,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-10.3461142836874
"237",1991,28,18,12,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-18.3461142836874
"238",1991,25,4,17,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-21.3461142836874
"240",1991,40,18,17,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,-6.34611428368744
"241",1991,26,21,16,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-20.3461142836874
"242",1991,24,1,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-22.3461142836874
"243",1991,20,9,12,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-26.3461142836874
"244",1991,23,9,5,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-23.3461142836874
"245",1991,23,12,13,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-23.3461142836874
"246",1991,36,13,9,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,-10.3461142836874
"247",1991,41,14,10,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-5.34611428368744
